Company,Brief Description,Detailed Description,Founded Year,HQ Address,Email ID,Contact Detail,website address,LinkedIn Page Link,Twitter Page Link,Total Number of Investments,Preferred Sectors,Average Cheque Size,Average Round Size,Lead or Co-Investor Preference,Most Recent Investment,Guidance for Founders,Evaluation Criteria,PNG Address of the logo,Guidance for Founders
HERITAS CAPITAL,"Heritas Capital is a Singapore-based private equity and venture capital investment firm with a significant focus on healthcare, education, and technology investments across Asia, including India.","Heritas Capital Management is an investment firm that manages private equity and venture capital investments in high-growth sectors including healthcare, education, and technology. While headquartered in Singapore, they have a strong focus on the Asian region including India. They provide growth capital to innovative companies that address critical needs in their target sectors. Heritas adopts a hands-on investment approach, working closely with portfolio companies to drive value creation through operational improvements, strategic guidance, and access to their network.",2012,"(India Representative) Level 11, Godrej BKC, Plot C-68, G Block, Bandra Kurla Complex, Mumbai 400051, India",enquiries@heritascapital.com,+65 6438 0383 (Singapore HQ),https://www.heritascapital.com,https://www.linkedin.com/company/heritas-capital,https://twitter.com/HeritasCapital,42 (9 in India),"Healthcare, Life Sciences, EdTech, Financial Inclusion, Technology Enablers",$3 million - $15 million,$10 million - $30 million,Flexible approach - can lead rounds or participate as co-investor depending on the opportunity,Participated in MediBuddy's $40 million Series C extension round in December 2023 (digital healthcare platform in India),"Founders can submit their business plans through the contact form on Heritas Capital's website. They look for businesses with proven models addressing fundamental needs in their focus sectors. Initial contact should include business overview, market opportunity, competitive advantage, and financial projections.",,,
HERO ENTERPRISE,"Hero Enterprise is the investment office of Sunil Kant Munjal, focusing on investments across multiple sectors including startups in India.","Hero Enterprise is the investment entity led by Sunil Kant Munjal, Chairman of Hero Enterprise and part of the Hero Group family. The firm makes strategic investments across various sectors, including established businesses, startups, real estate, and financial services. In the startup ecosystem, Hero Enterprise has shown interest in technology-enabled businesses that have the potential for significant scale and impact. The investment approach combines financial returns with contributions to India's economic and social development. Hero Enterprise leverages its extensive network and decades of business experience to support portfolio companies beyond just capital.",2016 (in current form),"12th Floor, Building No. 9B, DLF Cyber City, Phase III, Gurugram, Haryana 122002, India",info@heroenterprise.com,-st-c-4173033,https://www.heroenterprise.com,https://in.linkedin.com/company/heroenterprise,https://twitter.com/Hero_Enterprise,20+ investments,"Healthcare, Education, Financial Services, Mobility, Sustainable Technologies",$2-10 million,$5-20 million,"Both lead and co-investor, depending on strategic alignment",Investment in Avas Living (2024),Hero Enterprise encourages entrepreneurs to reach out through their website or network. They particularly value businesses that demonstrate potential for large-scale impact.,,,
HERO MOTOCORP LTD,"Hero MotoCorp is India's largest two-wheeler manufacturer that also operates as a corporate venture capital investor through its investment arm, focusing on mobility, sustainability, and adjacent technology areas.","Hero MotoCorp Ltd, beyond being India's largest two-wheeler manufacturer, operates a corporate venture capital initiative that invests in startups aligned with its strategic vision for the future of mobility. Their investment approach focuses on electric mobility, shared mobility solutions, autonomous technologies, and adjacent areas that complement their core business. As a strategic investor, Hero MotoCorp provides not only capital but also access to their extensive manufacturing expertise, distribution network, and R&D capabilities. Their investments aim to foster innovation that can potentially be integrated into their product ecosystem or help them expand into new mobility segments.",2016 (Venture Arm),"The Grand Plaza, Plot No. 2, Nelson Mandela Road, Vasant Kunj Phase-II, New Delhi 110070, India",corporate@heromotocorp.com,+91 11 4604 4100,https://www.heromotocorp.com,https://www.linkedin.com/company/hero-motocorp,https://twitter.com/HeroMotoCorp,12,"Electric Mobility, Autonomous Technology, Battery Technology, Shared Mobility, Connected Vehicles, Sustainable Transportation",$5 million - $25 million,$10 million - $50 million,"Primarily participates as strategic co-investor, occasionally leads rounds in core strategic areas",Led a $15 million funding round in Ather Energy (electric scooter manufacturer) in January 2024,Hero MotoCorp evaluates startups that align with their strategic vision for the future of mobility. Founders can reach out through their corporate development team via email or their website contact form. They prefer startups with working prototypes or early market traction.,,,
HINDUSTAN MEDIA VENTURES,"Hindustan Media Ventures Limited (HMVL) is a media company that operates as the investment arm of HT Media Group, with a focus on digital media, content, and technology startups.","Hindustan Media Ventures Limited is a publicly listed company that operates Hindi newspapers and digital platforms while also functioning as an investment vehicle for the HT Media Group. The investment division focuses on early to growth-stage companies in digital media, content platforms, AdTech, media technology, and consumer internet. Their investment strategy leverages the group's media assets and distribution channels to provide strategic advantages to portfolio companies beyond just capital. They typically seek companies that can benefit from synergies with their existing media operations or represent future evolution paths for the media industry.",2010 (Restructured as investment arm),"Hindustan Times House, 2nd Floor, 18-20 K.G. Marg, New Delhi 110001, India",investor@hindustantimes.com,-8184,www.hmvl.in,https://in.linkedin.com/company/hindustan-media-ventures-limited,https://twitter.com/Hindi_HMVL,15+,"Digital Media, Content Platforms, AdTech, EdTech, Consumer Internet",$1 million - $10 million,$3 million - $15 million,"Both, with preference for co-investing with specialized funds",Winuall (March 2024) - $3 million Series A,HMVL does not maintain a public investment submission process but accepts proposals through their corporate development team. They prefer businesses that have synergies with their media operations or represent strategic diversification opportunities.,,,
HOF PROFECTUS,"HOF Profectus is a venture capital firm that invests in early-stage technology startups in India with a focus on enterprise software, fintech, and health tech sectors.","HOF Profectus provides capital and strategic support to promising startups with innovative technology solutions. The firm has a strong network of industry experts and corporations that help portfolio companies accelerate growth and achieve product-market fit. With a hands-on approach, HOF Profectus works closely with founding teams to refine business models, enhance go-to-market strategies, and build scalable organizations.",2018,"2201, 22nd Floor, Maker Maxity, Bandra Kurla Complex, Mumbai 400051, India",info@hofprofectus.com,-68457831,https://www.hofprofectus.com,https://in.linkedin.com/company/profectuscapital,https://twitter.com/HOFProfectus,15,"Enterprise SaaS, Fintech, Healthcare IT, AI/ML Applications, B2B Marketplaces",$1-3 million,$2-5 million,"Primarily lead investor in early stages, co-investor in growth stages",Intelli Health (January 2024) - $2.2 million in Seed round,Founders are encouraged to reach out through introductions from mutual connections when possible. Direct applications can be sent to pitch@hofprofectus.com with a concise deck and product demo if available.,HOF CAPITAL ?,,
HOMAGE VENTURES,"Homage Ventures is an emerging venture capital firm focused on supporting early-stage startups in India's technology ecosystem, with particular attention to healthcare and wellness sectors.","Homage Ventures invests in early-stage startups building innovative solutions across healthcare, wellness, and related technology sectors. The firm provides hands-on support to founders, leveraging its network of healthcare professionals, technologists, and industry experts to help portfolio companies grow and scale.",2020,"Indiranagar, Bengaluru, Karnataka 560038, India",connect@homageventures.com,Not publicly available,https//www.homageventures.com,https://in.linkedin.com/company/homageindia,Not prominently available,Approximately 5-10 investments,"HealthTech, MedTech, Wellness, Digital Health, Healthcare SaaS, BioTech","$250,000-1 million",$1-3 million,"Both, with preference for leading seed rounds",Not publicly disclosed for 2024,Founders can reach out via email or through warm introductions. They look for startups with innovative solutions addressing meaningful problems in healthcare and wellness spaces.,,,
HT MEDIA,"HT Media Group's venture investment arm focuses on media tech, adtech, and digital content startups that align with the group's strategic interests in the Indian market.","HT Media's investment division operates as the venture capital arm of one of India's largest media conglomerates. The group makes strategic investments in startups that complement or enhance its existing media businesses, which include print publications (Hindustan Times, Mint), radio stations (Fever FM), and digital properties. They typically invest in companies innovating in media technology, digital content creation, distribution platforms, adtech solutions, and consumer engagement tools. Their investments aim to strengthen the group's digital transformation while supporting innovative startups in the media ecosystem.",2005,"Hindustan Times House, 18-20 Kasturba Gandhi Marg, New Delhi - 110001, India",investor@hindustantimes.com,-66561154,https://www.htmedia.in,https://in.linkedin.com/company/htmediagroup,https://twitter.com/HTMedia_Ltd,12-15 disclosed investments,"Media Tech, Digital Content, AdTech, MarTech, Consumer Internet","$500,000 - $2 million",$1-5 million,"Primarily strategic investor, often co-investing with pure-play VCs",Invested in a digital entertainment platform in early 2024 (details undisclosed),Founders can reach out via email with a concise business plan. The group looks for startups that can create synergies with existing HT Media properties or address gaps in their digital strategy.,,,
HUDDLE,Huddle is an early-stage venture capital firm that invests in and partners with founders building technology-first companies in India.,"Huddle is a sector-agnostic, early-stage fund focused on technology startups in India. The firm provides funding, strategic guidance, and operational support to founders looking to build scalable businesses. Huddle operates with a collaborative approach, bringing together founders, mentors, and industry experts to help portfolio companies grow. The firm emphasizes hands-on involvement with its portfolio companies, providing active support beyond capital.",2018,"91SpringBoard, C-2, Sector 1, Noida, Uttar Pradesh 201301, India",founders@huddle.work,-6511,https://www.huddle.work,https://in.linkedin.com/company/huddleventures,https://twitter.com/huddlework,40+,"Consumer Internet, Enterprise SaaS, FinTech, D2C, HealthTech, EdTech, and emerging technology sectors","$250,000 - $500,000","$500,000 - $1,500,000","Both lead and co-investment, with a preference for leading pre-seed and seed rounds","Invested in Fello, a gamified savings platform (January 2024, participation in $4 million Series A)","Founders can submit their pitches through the ""Pitch Us"" section on their website. Huddle looks for strong founding teams with deep domain expertise and unique insights into the market they're addressing.",,,
HUMMINGBIRD,Hummingbird Ventures is a global early-stage venture capital firm with a significant focus on Indian startups showing global potential.,"Hummingbird Ventures invests in early-stage technology companies across multiple geographies, including a strong presence in India. The firm focuses on backing exceptional entrepreneurs building disruptive companies with global ambitions. Hummingbird takes a founder-centric approach, providing capital, strategic guidance, and access to their global network. They typically invest at seed and Series A stages and maintain a concentrated portfolio to ensure deep engagement with each company.",2010,"WeWork Galaxy, 43, Residency Rd, Shanthala Nagar, Bengaluru, Karnataka 560025, India (India office)",india@hummingbird.vc,NA (Contact primarily through website or email),https://hummingbird.vc/,https://uk.linkedin.com/company/hummigbird-ventures,https://twitter.com/HummingbirdVC,"60+ investments globally, 15+ in India","SaaS, Marketplace models, Fintech, Gaming, Crypto/Web3, Consumer internet","$500,000 - $5 million",$1 million - $10 million,"Flexible approach, often leads seed rounds and co-invests in Series A",Rigi (2024),"Hummingbird Ventures prefers warm introductions through their network but also reviews cold pitches submitted through their website. They recommend concise pitch decks focusing on unique insights, market opportunity, and founder expertise. Initial contact should be brief with clear articulation of the value proposition.",,,
HUNCH VENTURES & INVESTMENTS PRIVATE LIMITED,"Hunch Ventures is an Indian investment firm focused on early-stage investments across various sectors including hospitality, healthcare, education, and technology.","Hunch Ventures, founded by Karanpal Singh, is a boutique private equity firm that invests in disruptive business models across multiple sectors. The firm takes a thesis-driven approach to investing, identifying emerging trends and backing entrepreneurs who are addressing large market opportunities. Hunch has built a diversified portfolio spanning luxury hospitality, healthcare services, education technology, and consumer internet ventures. They are known for providing strategic guidance and operational support beyond just capital.",2015,"5th Floor, Aria Tower, JW Marriott, Asset Area 4, Hospitality District, Aerocity, New Delhi 110037, India",info@hunchventures.com,+91 11 4567 7777,https://www.hunchventures.com,https://in.linkedin.com/company/hunch-ventures-investments-pvt-ltd,https://twitter.com/HunchVentures,29,"Hospitality, Healthcare, Education, Consumer Internet, and Mobility Solutions","$500,000-5 million",$1-10 million,"Typically leads rounds in early-stage investments, co-invests in larger deals","Aug 22, 2023 | Jamie Oliver Restaurants India | India | Stage -Seed | Amount invested - $6.85M",Founders can reach out through their website's contact form. They prefer businesses that have demonstrated initial traction and are solving real-world problems with innovative approaches.,,,
HUSTLE FUND,"Hustle Fund is an early-stage venture capital firm with a growing focus on Indian startups, known for its quick decision-making and founder-friendly approach.","Hustle Fund is a pre-seed/seed-stage venture capital firm founded by Elizabeth Yin and Eric Bahn, former partners at 500 Startups. While based in the US, the firm has been increasing its investments in the Indian startup ecosystem. Hustle Fund is known for its unique approach of making quick investment decisions (often within weeks) based on the team's execution capabilities rather than just ideas. They typically look for founders who can demonstrate ""hustle"" - the ability to execute quickly and efficiently with limited resources. The firm has been particularly active in software, consumer, and fintech sectors in India.",2017,"NA (US-based with India focus, no dedicated India office)",team@hustlefund.vc,contact@hustlefund.vc,https://www.hustlefund.vc,https://www.linkedin.com/company/hustle-fund,https://twitter.com/hustlefundvc,"300+ (globally), 20+ (India-focused)","SaaS, FinTech, Consumer Tech, MarketplaceS, B2B Software","$25,000 - $150,000","$500,000 - $2 million",Primarily co-investor,Tartan (January 2025),"Founders can apply through their website. The firm values demonstration of rapid execution, early traction metrics, and clear go-to-market strategies.",,,
HYDERABAD ANGELS,Hyderabad Angels is an angel investment network that provides early-stage funding and mentorship to promising startups primarily in South India.,"Hyderabad Angels is one of India's leading angel investment networks, comprising successful entrepreneurs, CXOs, and business leaders primarily based in Hyderabad. The network focuses on early-stage startups with innovative business models and scalable solutions. Hyderabad Angels not only provides capital but also offers strategic mentorship, operational guidance, and business connections to portfolio companies. The network maintains a sector-agnostic approach but shows preference for technology-enabled businesses with significant market potential. Hyderabad Angels has established itself as a vital funding source for startups in the South Indian ecosystem, particularly those emerging from Hyderabad, Bengaluru, and Chennai.",2012,"HYDERABAD ANGELS FORUM FOR
ENTREPRENEURSHIP
Ground Floor, Building 3, iLabs Centre,
Plot no 18, Near Inorbit Mall, Software
Units Layout, Madhapur,
Hyderabad – 500081, India

 ",info@hyderabadangels.in,40 – 4048 4444,https://www.hyderabadangels.in,https://www.linkedin.com/company/hyderabad-angels,https://twitter.com/HyderabadAngels,50+ investments,"Tech-enabled businesses across FinTech, HealthTech, EdTech, Enterprise SaaS, Consumer Internet, Deep Tech (Sector Agnostic)","$100,000 to $500,000","$250,000 to $750,000",Primarily lead investor at angel/seed stage,Dhruva Space (2024) - Space technology startup,"Entrepreneurs can apply through the Hyderabad Angels website. The network looks for startups with some early traction, a minimum viable product, and a clear path to scaling. Founders should be prepared with concise pitch decks highlighting market opportunity and competitive advantage.",,,
ICEBREAKER,Icebreaker is a Nordic venture capital firm that has recently expanded its focus to include Indian startups working on climate tech and sustainable solutions.,"Icebreaker is a venture capital firm originally established in Helsinki, Finland, that has expanded its investment thesis to include Indian startups. The firm specializes in backing early-stage companies with transformative technologies addressing global challenges, particularly in climate and sustainability. Icebreaker brings a unique Nordic-Indian connection, helping portfolio companies navigate both markets and facilitating cross-border knowledge exchange. Their team includes experienced operators and investors with deep domain expertise in their focus sectors.",2015 (India operations started in 2022),"91SpringBoard, Koramangala, Bengaluru, Karnataka, India (India office)",india@icebreaker.vc,Contact form available on website,https://www.icebreaker.vc,https://www.linkedin.com/company/icebreaker-vc,https://twitter.com/icebreaker_vc,59,"Climate Tech, Clean Energy, Sustainable Manufacturing, Enterprise SaaS, Circular Economy",€400K-€1M (₹35M-₹90M),€800K-€2M (₹70M-₹180M),"Both lead and co-investor, with preference for co-investing with local partners in India","Oct 12, 2024 | Dorje Teas | India | Stage -Seed | Amount invested - $214K","Icebreaker accepts direct applications through their website. They prefer startups that have early proof of concept or MVP and can articulate how their solution addresses climate challenges. They particularly value teams with technical expertise and domain knowledge. Their investment process typically involves initial screening, followed by multiple meetings with different team members.",,,
ICICI BANK,"ICICI Bank's venture arm (ICICI Venture) is one of India's oldest and most established private equity firms, focusing on private equity, real estate investments, infrastructure funding, and special situations.","ICICI Venture, established as a wholly-owned subsidiary of ICICI Bank, has evolved into one of India's leading alternative asset managers. With a multi-strategy investment approach, it manages funds across private equity, real estate, infrastructure, and special situations. The firm has played a significant role in India's private equity landscape, helping businesses scale through capital infusion and strategic guidance.",1988,"ICICI Venture Funds Management Company Limited, Ground Floor, Ramon House, H.T. Parekh Marg, 169, Backbay Reclamation, Churchgate, Mumbai - 400 020, India",info@iciciventure.com,+91-22-6737 1000,https://www.iciciventure.com/,https://www.linkedin.com/company/icici-venture/,NA (No official Twitter/X page found),150+ investments,"Healthcare, Consumer goods, Financial services, Technology, Infrastructure, Real estate",$10-50 million,$30-100 million,Primarily leads investment rounds but also participates as a co-investor in larger deals,GoDigit Insurance (2024),"ICICI Venture accepts business proposals through their official email. Proposals should include a detailed business plan, financial projections, market analysis, and founder details. They recommend approaching them through formal channels as outlined on their website.",,,
ICMG PARTNERS,ICMG Partners is a global venture capital and corporate advisory firm specializing in cross-border innovation and investment between Asia and global markets.,"ICMG Partners operates as both a venture capital firm and strategic advisory service with offices across Asia and global innovation hubs. The firm focuses on facilitating corporate innovation, strategic investments, and cross-border technology transfers. ICMG has a particular emphasis on connecting Japanese corporations with global innovation ecosystems and helping Asian startups expand globally. Their model combines investment with hands-on operational support and corporate connection facilitation.",2009,"WeWork Galaxy, 43, Residency Road, Bengaluru - 560025, Karnataka, India",info@icmg.co.jp,-10213,https://www.icmgpartners.com,https://in.linkedin.com/company/icmggroup,https://twitter.com/icmgpartners,11,"DeepTech, IoT, AI/ML, Robotics, Smart Manufacturing, Digital Health, FinTech","$500,000 - $3 million",$1 million - $5 million,"Primarily co-investor, often partnering with corporate venture arms","May 03, 2024 | Flickstree | India | Stage -Series A | Amount invested - $671K",Founders can submit pitch decks through their website portal. ICMG particularly values startups with technology that can scale across Asian markets or those seeking Japanese/Asian corporate partnerships.,,,
ICONIQ GROWTH,"ICONIQ Growth is the growth equity investment platform of ICONIQ Capital, focusing on technology investments globally with a significant presence in the Indian market.","ICONIQ Growth is the growth-stage investment arm of ICONIQ Capital, a global multi-family office and merchant bank for influential families and strategic investors. The firm is known for its connections to Silicon Valley's elite, including founders and executives from leading technology companies. While headquartered in the US, they have made significant investments in the Indian startup ecosystem. ICONIQ Growth focuses on high-growth technology companies that demonstrate leadership in their respective sectors. Their value proposition extends beyond capital to include access to their global network of business leaders, potential customers, and strategic partners. The firm typically invests in Series C and later stages, backing companies with proven business models ready for global expansion.","2011 (ICONIQ Capital), 2013 (ICONIQ Growth initiative)","(India Representative Office) WeWork Galaxy, 43, Residency Road, Bengaluru 560025, India",growth@iconiqcapital.com,+1 415 967 7763 (US HQ),https://iconiqgrowth.com,https://www.linkedin.com/showcase/iconiq-growth/,https://twitter.com/ICONIQGrowth,177 (16 in India),"Enterprise SaaS, Fintech, Healthtech, Consumer Internet, Data Infrastructure, Cybersecurity",$50 million - $150 million,$100 million - $300 million,Often leads growth rounds but also co-invests alongside other top-tier funds,Led Purplle's $110 million Series E funding round in January 2024 (online beauty and personal care platform in India),"ICONIQ Growth typically invests through referrals from their extensive network. They look for companies with strong product-market fit, rapid growth, and potential for category leadership. Initial outreach should highlight key metrics, competitive positioning, and growth strategy.",,,
IDEAFORGE,"ideaForge is primarily a technology company that designs and manufactures unmanned aerial vehicles (drones) for defense, homeland security, and enterprise applications, rather than a traditional venture capital firm.","ideaForge is India's largest manufacturer of drones for defense, homeland security, and industrial applications. Founded by alumni of IIT Bombay, the company has pioneered indigenous drone technology in India. ideaForge designs and manufactures high-performance, rugged, and reliable unmanned aerial vehicles (UAVs) that are used for surveillance, mapping, inspection, and other critical applications. The company has established itself as a leader in the Indian drone ecosystem with significant contracts from military, paramilitary, and various government agencies. While ideaForge has received venture funding itself, it functions as a technology company rather than a venture capital investment firm. The company occasionally engages with startups in the drone ecosystem as strategic partners but does not have a formal venture investment arm.",2007,"ideaForge Technology Pvt. Ltd., EL-146/147, TTC Industrial Area, Electronic Zone, MIDC Mahape, Navi Mumbai, Maharashtra 400710, India",info@ideaforge.co.in,+91 22 4913 7700,https://www.ideaforge.co.in,https://in.linkedin.com/company/ideaforge,https://twitter.com/ideaforge_india,NA (Not a venture capital firm),NA (Primarily a drone technology company),NA (Not applicable as they are not an investment firm),NA (Not applicable as they are not an investment firm),NA (Not applicable as they are not an investment firm),NA (Not an investment firm),"NA (As a technology company, they engage with potential customers and technology partners rather than investment opportunities)",,,
IDEASPRING CAPITAL,Ideaspring Capital is an early-stage venture fund focused on enterprise tech startups that solve global problems from India.,"Ideaspring Capital is a ₹125 crore ($16.5 million) early-stage venture fund that invests in product innovation startups in India. The fund focuses on deep technology startups in areas such as Machine Learning, AI, AR/VR, IoT, and Cloud Computing that address global markets. Ideaspring provides not just capital but also active mentorship and market access through its network of successful entrepreneurs and technology veterans. The fund was established by Naganand Doraswamy in partnership with Mohandas Pai, Patni Computers' family office, and others.",2016,"F-101, 1st Floor, Suraj Ganga Arcade No. 332/7,
14th Cross Rd, 2nd Block,
Jayanagar, Bengaluru, KA 560011",info@ideaspringcap.com,+91 80 3078922,https://www.ideaspringcap.com/,https://www.linkedin.com/company/ideaspring-capital/,https://twitter.com/ideaspringcap,20+,"Enterprise Software, Deep Tech, AI/ML, IoT, Cloud Computing, AR/VR, Defense, BioTech, Climate tech","$500,000 to $1 million",$1-3 million,"Typically leads Seed rounds, co-invests in Series A","Sep 25, 2024
Phyx44
India
Seed
$3.55M",Founders can submit their pitch through the online application form on the website. Ideaspring looks for startups with differentiated technology addressing global markets.,,,
IDH FARMFIT,IDH Farmfit is an impact investment fund focused on sustainable agriculture and smallholder farmer livelihoods in India and other developing markets.,"IDH Farmfit combines investment capital with technical assistance to support agricultural businesses that improve smallholder farmer incomes and promote sustainable farming practices. The fund works at the intersection of commercial viability and social impact, targeting innovations that can transform agricultural value chains to be more inclusive, efficient, and environmentally sustainable. In India, Farmfit focuses particularly on models that can reach large numbers of smallholder farmers with improved services, inputs, and market access.",2017,"142, 2nd Floor, Centrum Plaza, Golf Course Road, Sector 53, Gurugram 122002, India (India Office)",info.india@idhtrade.org,-5077,https://www.idhsustainabletrade.com/farmfit-fund/,https://nl.linkedin.com/showcase/idh-investmentmanagement/,https://twitter.com/IDH_Farmfit,16 globally; 6 in India,"Sustainable Agriculture, AgriTech, Rural Finance, Supply Chain Solutions","$500,000 - $3 million",$1 million - $5 million,Both lead and co-investor,Sammunati (2024) - Agricultural value chain finance provider,IDH Farmfit accepts applications through its website and provides detailed guidelines for proposals. The fund looks for business models with both commercial viability and positive impact on smallholder farmers.,,,
IFC ASSET MANAGEMENT COMPANY,"IFC Asset Management Company (IFC AMC) is a wholly-owned subsidiary of the International Finance Corporation (IFC), a member of the World Bank Group, mobilizing third-party capital for investment in developing and frontier markets.","IFC Asset Management Company manages funds that invest alongside IFC in developing countries. Since its founding, IFC AMC has raised over $10 billion in assets under management across various funds. In India, IFC AMC focuses on growth equity investments in sectors critical to India's development including infrastructure, financial inclusion, healthcare, and climate. Their investments aim to deliver both strong financial returns and significant development impact.",2009,"Maruti Suzuki Building, 3rd Floor, Nelson Mandela Road, Vasant Kunj, New Delhi 110070, India",ifcamc@ifc.org,+91 11 4111 1000,https://www.ifcamc.org,https://www.linkedin.com/showcase/ifc-asset-management-company-amc-/,https://twitter.com/IFC_org,"120+ investments globally, 20+ in India","Infrastructure, Financial Services, Healthcare, Agribusiness, Manufacturing, and Clean Energy",$10-50 million,$20-100 million,Often leads or co-leads larger investment rounds,ReNew Power (Renewable energy company) - Follow-on investment in 2024,Founders should review IFC's investment criteria and focus areas on their website before applying. Initial contacts are typically made through referrals from financial advisors or directly through their investment officers.,,,
IHUB ANUBHUTI,"iHub Anubhuti is a technology innovation hub established at IIIT Delhi with support from the Department of Science and Technology (DST), Government of India, focusing on IoT and AI investments.","iHub Anubhuti operates as a Technology Innovation Hub (TIH) under the National Mission on Interdisciplinary Cyber-Physical Systems (NM-ICPS). Based at IIIT Delhi, it focuses on nurturing startups working on IoT and AI technologies with real-world applications. The hub provides not just funding but also technical mentorship, infrastructure support, and market access to early-stage startups. iHub Anubhuti functions as both an incubator and an investment vehicle, with particular emphasis on solutions addressing healthcare, smart cities, agriculture, and manufacturing challenges through advanced technologies.",2020,"IIIT-Delhi, Okhla Industrial Estate, Phase III, New Delhi - 110020, India",contact@ihub-anubhuti.in,-26907320,https://ihub-anubhuti-iiitd.in,https://in.linkedin.com/company/ihub-anubhuti,https://twitter.com/iHubAnubhuti,15-20 startups supported/invested in,"IoT, AI/ML, Data Analytics, Cyber-Physical Systems, Robotics","₹20-50 lakhs ($25,000-$60,000)","₹50 lakhs-1.5 crores ($60,000-$180,000)",Usually lead investor at pre-seed/seed stages,Invested in an AI healthcare diagnostics startup in Q1 2024,Founders can apply through the website's application portal. The hub runs periodic cohort-based programs and also accepts rolling applications. They look for technology-first solutions with clear IP potential.,,,
IIFL FINANCE,IIFL Finance (Indian Infoline Finance Limited) is a non-banking financial company offering various financial services and investments.,"IIFL Finance is one of India's leading non-banking financial companies with a diverse set of offerings including home loans, gold loans, business loans, and microfinance. While primarily a financial services company, IIFL also makes strategic investments in startups through IIFL Fintech Fund and other initiatives. Their investment arm focuses on finance and technology sectors.",2021 (Fintech Fund),"IIFL House, Sun Infotech Park, Road No. 16V, Plot No. B-23, MIDC, Thane Industrial Area, Wagle Estate, Thane West, Maharashtra 400604",investorrelations@iifl.com,1800-258-5404,https://www.iifl.com/,https://www.linkedin.com/company/iifl/,https://twitter.com/IIFL_Official,10+ (through IIFL Fintech Fund),"FinTech, InsurTech, WealthTech, Financial Services",$2M-10M,$5M-20M,Primarily co-investor,"Jan 10, 2025            
Series B Led by IIFL - GrayQuest ",Founder's can send there intial enquiry via the contact us section from the iifl fitech fund site.,,,
IIM INDORE ALUMNI FUND (IIMIAAF),IIM Indore Alumni Angel Fund (IIMIAAF) is an alumni-driven investment fund focused on supporting startups founded by alumni of IIM Indore and other promising early-stage ventures.,"The IIM Indore Alumni Angel Fund (IIMIAAF) is a dedicated investment vehicle created by alumni of the Indian Institute of Management Indore. The fund pools capital from successful alumni to invest in startups founded by IIM Indore graduates and other high-potential early-stage companies. Beyond financial investment, IIMIAAF leverages the diverse expertise of its alumni network to provide mentorship, strategic guidance, and business connections to portfolio companies. The fund operates with a structured investment process while maintaining the collaborative spirit of the alumni community.",2017,"IIM Indore Alumni Association Office, IIM Indore Campus, Rau-Pithampur Road, Indore, Madhya Pradesh 453556, India",alumniaf2@iimidr.ac.in,NA,https://iimiaaf.com/,https://www.linkedin.com/company/iimiaf,NA,31,"Technology, Consumer Brands, Edtech, Healthtech, Financial Services (Sector Agnostic)",$100K - $500K,$250K - $1M,"Primarily co-investor, occasionally leads rounds for IIM Indore alumni-founded startups","Invested in FoodTech platform Nutrify (founded by IIM Indore alumni) in December 2024, amount $200K",IIM Indore alumni can directly apply through the fund's website. Non-alumni founders need an introduction from a fund member or portfolio company. The fund holds quarterly pitch sessions on campus.,,,
IIM LUCKNOW ENTERPRISE INCUBATION CENTER,"IIM Lucknow Enterprise Incubation Center (IIML-EIC) is a business incubator established by the Indian Institute of Management Lucknow, supporting early-stage startups through funding, mentorship, and resources.","IIM Lucknow Enterprise Incubation Center (IIML-EIC) is a business incubator and innovation hub established by IIM Lucknow, one of India's premier management institutes. IIML-EIC operates as a Section 8 not-for-profit company and is recognized as a Technology Business Incubator (TBI) by the Department of Science and Technology, Government of India. The incubator provides comprehensive support to early-stage startups including seed funding, mentorship from IIM faculty and industry experts, office space, access to research facilities, business development support, and networking opportunities. IIML-EIC focuses on nurturing innovative startups that have the potential to create significant social and economic impact.",2013,"IIM Lucknow Campus, Prabandh Nagar, Off Sitapur Road, Lucknow 226013, Uttar Pradesh, India",eic@iiml.ac.in,+91 522 669 6713,https://iimlincubator.com,https://in.linkedin.com/company/iimlucknow-incubator,https://twitter.com/IIMLIncubator,113,"Agritech, Fintech, Healthcare, Education, Sustainability, Social Entrepreneurship, Rural Development","₹25 lakhs - ₹50 lakhs ($30,000 - $60,000)","₹50 lakhs - ₹1 crore ($60,000 - $120,000)",Primarily leads seed investments in incubated startups; often collaborates with government funding agencies and angel networks,"Sep 30, 2024 | Tight the Nut | India | Stage -Seed | Amount invested - $239K",Founders can apply through the online application form on the IIML-EIC website. The incubator runs multiple cohort-based programs throughout the year with specific application deadlines. Selected startups go through a rigorous screening process including pitch presentations to the selection committee.,,,
